Product ID,sku,Product name,Total click count
9.02E+12,DHP093A35AA,"Amana DHP093A35AA Distinctions 42"" Packaged Terminal Air Conditioner Unit with 3.5 kW Heat Strip and Cooling Capacity of 9,000 BTU, R410A, 11.4 EER, Quiet White,208/230v",10
8.98E+12,RF2-HC ,"Serv-Ware RF2-HC 53.9” Stainless Steel Two Door Reach-In Freezer, 49 cu.ft",10
8.95E+12,1005143,Demeyere 1005143 Atlantis 5.5-qt Stainless Steel Steamer Insert with Silicone Gasket,10
8.93E+12,ATFS-50-NG,Atosa ATFS-50-NG 50 lb CookRite Fryer Natural Gas Floor Model,10
9.13E+12,AKCQ10DCJ,"GE AKCQ10DCJ 24"" Thru the Wall Air Conditioner with 3-Speed Fan, Large LCD Display, Infrared Remote Control,  and Cooling Capacity of 10,000 BTU, 10.6 EER, R32, 230/208v",9
9.13E+12,AJCM12DWJ,"GE AJCM12DWJ 26"" Built-In High Mount Thru the Wall Smart Air Conditioner with 10.5 kW Electric Heat Kit and Cooling Capacity of 12,000 BTU, R32,10.5 EER,230/208v/1ph",9
9.02E+12,WS900QW,"Amana WS900QW 42"" Galvanized Insulated Steel PTAC Wall Sleeve, Quiet White Color",9
8.98E+12,SGF-40N,"Serv-Ware SGF-40N 15.5” Stainless Steel 3 Tube Fryer, Natural Gas, 30,000 BTU/H",9
8.95E+12,1006610,"Ballarini 1006610 Professionale - Series 3000 11"" Carbon Steel Fry Pan",9
8.94E+12,BMCB001,"BakeMax BMCB001 18.75"" Electric Conveyor Oven, Countertop, 180 Pieces/Hour",9
8.93E+12,CTCO-100,"Atosa CTCO-100 26"" x 17"" 7/10  Countertop Convection Oven Full Size 208V 5450W",9
8.93E+12,ATSP-18-1L,"Atosa ATSP-18-1L 18"" Stock Pot Stove with 2 Burners",9
8.93E+12,ATFS-50-LP,"Atosa ATFS-50-LP 50 lb, CookRite Fryer Liquid Propane Gas Floor Model",9
8.92E+12,C-SP72-18-HC,Migali C-SP72-18-HC Eighteen Pans 72” Wide Standard Top Sandwich Prep Table Refrigerator,9
8.81E+12,MMUSICAVOL01ND0001,Nuova Simonelli Musica Pour Over Espresso Machine - 110 V,9
8.81E+12,ICEU220HA,"Ice-O-Matic ICEU220A 24.5"" Undercounter Cube Ice Machine With 70 lbs Bin, 251 lb Production, 115v",9
9.13E+12,AJCM12DCH,"GE AJCM12DCH 26"" Slide-In Smart Air Conditioner with Smart Fan Switch, Electronic Controls, and Cooling Capacity of 12,000 BTU, 10.5 EER, R410A,230/208v/1ph",8
9.02E+12,DHP153A35AA,"Amana DHP153A35AA Distinctions 42"" Packaged Terminal Air Conditioner Unit with 3.5 kW Heat Strip and Cooling Capacity of 14,700 BTU, R410A, 10.6 EER, Quiet White,208/230v",8
8.98E+12,SGF-70N,"Serv-Ware SGF-70N 21"" Stainless Steel 5 tube Fryer, Natural Gas, 30,000 BTU/H",8
8.93E+12,MCF8703ES,"Atosa MCF8703ES 54.4"" Bottom Mount Freezer, 2 Two Glass Door 44.8 Cu.Ft",8
8.83E+12,201182,Stage Steps L 100 x W 54 x H 40 cm,8
8.82E+12,RBM-35K-R,"Winco RBM-35K-R Black Beveled Edges Rubber Floor Mat, 3' x 5' x 1/2""",8
8.82E+12,71000,"Winco 71000 Benchmark Snow Bank Snow Cone Machine, 120 V",8
8.81E+12,D400- CAP 365 lbs,Manitowoc D400 Storage Bin For Ice 365 lb.,8
8.81E+12,UCG130GA,"Ice-O-Matic UCG130GA 18 1/4"" Air Cooled Undercounter Gourmet Grande Cube Ice Machine With 121 lbs Bin, 1 Phase, 115V",8
8.81E+12,ICEU150HA,"Ice-O-Matic ICEU150A 24.6"" Undercounter Cube Ice Machine With 70 lbs Bin, 238 lb Production,  115v",8
9.13E+12,AKEQ12DCJ,"GE AKEQ12DCJ 24"" Built-In Thru the Wall Air Conditioner with  3-Speed Fan, Large LCD Display, 6-Way Directional Airflow,and Cooling Capacity of 12,000 BTU, 9.5 EER, R32, 230/208v",7
9.13E+12,AKCQ10ACJ,"GE AKCQ10ACJ 24"" Built-In Thru-the-Wall Air Conditioner with 3-speed Fan, Large LCD Display, Infrared Remote Control, and Cooling Capacity of 10,000 BTU, 10.6 EER, R32, 115v/1ph",7
9.13E+12,AJEQ12DWJ,"GE AJEQ12DWJ 26"" Built-In Thru Wall Smart Air Conditioner with 3-Speed Fan, Electronic Cap Touch Controls, and Cooling Capacity of 12,000 BTU, 9.5 EER, R32,230/208v/1ph",7
9.13E+12,AJCQ06LWJ,"GE AJCQ06LWJ 26""  Thru the Wall Smart Air Conditioner with 3-Speed Fan, Electronic Cap Touch Controls,and Cooling Capacity of 6,300 BTU, 11.1 EER, R32, 115v/1ph",7
9.05E+12,MM-10,"Yanco MM-10 Miami 6.38"" Grapefruit Round Bowl, White Porcelain, 11.5oz - Pack of 36",7
9.02E+12,DCP153A35AA,"Amana DCP153A35AA Distinctions 42"" Packaged Terminal Air Conditioner Unit with 5kW Heat Strip and Cooling Capacity of 14,700 BTU, R410A, 10.6 EER, Quiet White,208/230v",7
8.96E+12,MK-48RF-3Section,"3 Section Solid Door Reach-in Commercial Refrigerator and Freezer Combo, 72"", Stainless Steel, - 54 Cu.ft",7
8.94E+12,BMPME20,"BakeMax BMPME20 21.25"" Countertop Planetary Mixer, 20 Qt",7
8.92E+12,C-1RB-HC,Migali C-1RB-HC Bottom Mount Reach-In Double Door 35 cu/ft Refrigerator,7
8.92E+12,C-2F-HC,Migali C-2F-HC Top Mount Reach-In Double Door 49 cu/ft Freezer,7
8.83E+12,GDM-05-S-HC-TSL01,"True GDM-05-S-HC-TSL01 24"" Stainless Steel Countertop Display Refrigerator with Hydrocarbon Refrigerant 115v/1ph",7
8.82E+12,SPJH-6HL,"Stainless Steel Anti-Jam Half Long Steam Pan, 22 Gauge",7
8.82E+12,FW-S500,"Winco FW-S500 Electric Food Warmer, 20"" x 12"" Opening, 1200W, 120V",7
8.82E+12,51096,"Winco 51096 Benchmark Stainless Steel Food Warmer 12"" x 20"", 120v",7
8.82E+12,FW-L600,"Winco FW-L600 Electric Food Warmer with 27"" x 12"" Opening, 1500W, 120V, 4/3 Size",7
8.82E+12,ESG-1,"Winco ESG-1 Sandwich Grill with Single 14"" Flat Plate, 120V",7
8.82E+12,EMP-10,Winco EMP-10 Commercial Planetary Mixer 10 Liters,7
8.82E+12,11147,"Winco 11147 Benchmark Silver Screen Popcorn Machine with 14 oz Kettle, 120v",7
8.82E+12,2934VCP35,Libbey 2934VCP35 12 oz. Flashback Rocks / Double Old Fashioned Glass - Case of 12 Pcs,7
8.82E+12,PLFB001,"Thunder Group PLFB001 21-3/4"" x 17"" x 5"" Polypropylene Square Colander",7
8.81E+12,T-49-HC,"True T-49-HC 54 1/8"" Solid Door with 2 Sections Reach-In Refrigerator, Silver, 115v/1ph",7
8.81E+12,UYF0140A-161B,"Manitowoc UYF-0140A NEO 26"" Air Cooled Undercounter Half Dice Cube Ice Machine with 90 lb. Bin, 115V, 137 lb.",7
8.81E+12,IDT0300W-161,"Manitowoc IDT0300W-161 Indigo NXT 30"" Water Cooled Full Dice Cube Ice Machine Without Storage Bin, 115V, 305 lbs/day",7
8.81E+12,37540,Hamilton Beach 37540 Proctor Silex Commercial 40-Cup Electric Rice Cooker/Warmer,7
8.80E+12,026-0090.0000,American Dish AF-3D-S Upright 2-Door Low Temp Dish Machine with Single Rack,7
9.13E+12,XS500YX,"Coldline XS500YX 58"" Curved Glass Top Display Ice Cream Freezer, 17.7 cu. Ft., 115v/1ph",6
9.13E+12,AJEM12DCH,"GE AJEM12DCH 26"" Built-in Thru-the-Wall Wall-mount Air Conditioners with 3-Speed Fan, 6-Way Directional Airflow, Premium Guard Seacoast Protection, and 12,000 BTU Cooling Capacity,R410A, 9.7,230/208v/1ph",6
9.07E+12,1025F0A,"Midea 1025F0A 20.13""  Commercial Microwave Oven with Manual Controls, Stainless Steel, 120v/1ph, 1000W, 0.9cu. ft.",6
9.05E+12,JP-3001,"Yanco JP-3001 Japanese 4.13"" Hexagonal Dish in Sand Melamine, 8oz - Pack of 48",6
9.05E+12,MM-9,"Yanco MM-9 Miami 9.75"" Round Plate, White Porcelain - Pack of 24",6
9.05E+12,XAFT-04HS-TD,Cadco Bakerlux Station XAFT-04HS-TD 4-Shelf Half Size Heavy-Duty Digital Countertop Convection Oven with Touch Control Panel - 208-240V,6
9.02E+12,DHP123A35AA,"Amana DHP123A35AA Distinctions 42"" Packaged Terminal Air Conditioner Unit with 3.5kW Heat Strip and Cooling Capacity of 12,000 BTU, R410A, 10.5 EER, Quiet White,208/230v",6
9.02E+12,DHP093A25AA,"Amana DHP093A25AA Distinctions 42"" Packaged Terminal Air Conditioner Unit with 2.5 kW Heat Strip and Cooling Capacity of 9,000 BTU, R410A, 11.4 EER,Quiet White,208/230v",6
8.98E+12,RR1-HC,"Serv-Ware RR1-HC 26.8' Stainless Steel 1 Solid Door Reach-In Refrigerator, 115v/1ph, 23 cu.ft",6
8.98E+12,RUTM1-4,Roomwell UK Thermo Minibar 1.4 Cu Ft Energy Efficient Absorption Refrigerator with Cyclopentane Insulation,6
8.93E+12,HD350-AP-161,"Atosa  HD350-AP-161 23"" Hotel Ice Dispenser Head 350 LB / 24 HR with Storage Bin 160 Lbs",6
8.93E+12,MSF8305GR,"Atosa MSF8305GR 27.5"" Mega Top Sandwich Prep Table, 12 Pans 7.2 Cu.Ft",6
8.93E+12,MSF8301GR,"Atosa MSF8301GR 27.5"" Sandwich Prep Table, 8 Pans 7.2 Cu.Ft",6
8.83E+12,BTCR10896K,Top Sheets Crinkle Wave 108 x 96 - King,6
8.82E+12,FW-S600,"Winco FW-S600 Electric Food Warmer/Cooker with 20"" x 12"" Opening, 1500W, 120V",6
8.82E+12,POP-8B,"Winco POP-8B Show Time Black Electric Countertop Popcorn Machine 120V, 1130W",6
8.82E+12,ECT-300,"Winco ECT-300 Spectrum Electric Conveyor Toaster, 120V, 300 Slices per Hour",6
8.82E+12,11065,"Winco 11065 Benchmark Metropolitan Popcorn Machine with 6 Oz Kettle, 120 V",6
8.82E+12,PLDB182603PP,"Thunder Group PLDB182603PP 18"" x 26"" x 3"" Polypropylene Pizza Dough Box White",6
8.81E+12,GDM-69FC-HC-LD,"True GDM-69FC-HC-LD 78 1/8"" GDM Series 3 Section Floral Cooler with Sliding Door, White, 115v/1ph",6
8.81E+12,UYP0140A-251Z,"Manitowoc UYP0140A-251Z Neo 26"" Air Cooled Undercounter Ice Machine With 90 lbs Bin, Half Dice Cube, Air Cooled, 230/50/1",6
8.81E+12,UDF0140A-161B,"Manitowoc UDF0140A NEO 26"" Air Cooled Undercounter Full Dice Ice Machine with 90 lb. Bin, 115V, 135 lb.",6
8.81E+12,UDE0065A-251Z,"Manitowoc UDE0065A-251Z NEO 20"" Air Cooled Undercounter Ice Machine with 57 lbs Bin",6
8.81E+12,UDE0065A-161B,"Manitowoc UDE0065A NEO Air Cooled Undercounter Dice Cube Ice Machine with 31 lbs Bin, 115V, 57 lb.",6
8.81E+12,MAURE18SEM03ND0001,Nuova Simonelli Aurelia Wave Semi-Automatic 3GR Espresso Machine - 220V,6
8.81E+12,MPROTFTCAP21000003 + NUOVART117,Nuova Simonelli Prontobar Touch Espresso Coffee Machine with Grinder - 220 V,6
8.81E+12,BDC-HC-8,"Beverage-Air BDC-HC-8 Hydrocarbon Series 50"" Ice Cream Dipping Cabinet",6
8.81E+12,BDC-HC-12,"Beverage-Air BDC-HC-12 Hydrocarbon Series 68"" Ice Cream Dipping Cabinet",6
8.81E+12,ACP4SQ,"Arctic Air ACP4SQ 15"" 4 Pan Countertop Compact Prep Unit",6
8.81E+12,ACP55,"Arctic Air ACP55 55"" Ten Pan Stainless Steel Counter Top Prep Unit",6
9.16E+12,HD350-AP-161,"Atosa HD350-AP-161 23"" Ice Machine with 160 lb Ice Bin, Stainless Steel, 350 lbs, R290, 115v/1ph",5
9.05E+12,JP-3545,"Yanco JP-3545 Japanese 5"" Round Sauce Bowl with Handle in Sand Melamine, 10oz - Pack of 48",5
9.05E+12,JP-3005,"Yanco JP-3005 Japanese 4.75"" Round Jingdu Bowl in Sand Melamine, 10oz - Pack of 48",5
9.05E+12,JP-3003,"Yanco JP-3003 Japanese 5.5"" Round Soup Bowl in Sand Melamine, 12oz - Pack of 48",5
9.05E+12,JP-1312,"Yanco JP-1312 Japanese 12"" Round Plate in Sand Melamine - Pack of 12",5
9.05E+12,LY-2112,"Yanco LY-2112 Lyon 12 X 8 1/4"" X 1 1/4"" Coupe Platter, Porcelain, Reactive Glaze, Pack of 12",5
9.02E+12,SGK01**,"Amana SGK01** 2"" Aluminum Single pack stamped Exterior Grille, Quite White and Stonewood Beige",5
8.98E+12,SMGS-48,"Serv-Ware SMGS-48 47.99"" Stainless Steel Manual Griddle with 4 Burners, Gas, 30,000 BTU/H",5
8.95E+12,1006609,"Ballarini 1006609 9 1/2"" Professionale Series 3000 Fry Pan, Carbon Steel",5
8.94E+12,JBT-72-N,"Turbo Air JBT-72-N 70-7/8"" 3 Section J Series Refrigerated Buffet Table, 18 cu. Ft., 115/60/1",5
8.94E+12,BMMSM08,"BakeMax BMMSM08 23.5"" Meat Slicer Manual Gravity Feed, 12"" Blade, 120/60/1",5
8.93E+12,MSF3610GR,"Atosa MSF3610GR 36.32"" Refrigerated Standard Top Sandwich Prep Table 8.7 Cu. Ft",5
8.93E+12,SSTW-3036,"Atosa SSTW-3036 36"" 18 Gauge Stainless Steel Work Table with Undershelf",5
8.93E+12,YR140-AP-161,"Atosa YR140-AP-161 23.7"" Ice Machine with Built-In Ice Bin, 142 lbs/day",5
8.93E+12,MGF8454GR,"Atosa MGF8454GR 76"" Four Drawer Refrigerated Chef Base, Extended Top 12.1 Cu.Ft",5
